  2.100000E+01 -9.232714E+00
  2.100000E+01 -9.232402E+00
  2.100000E+01 -9.209461E+00
  2.100000E+01 -9.209148E+00
  2.100000E+01 -9.186207E+00
  2.100000E+01 -9.185894E+00
  2.100000E+01 -9.162953E+00
  2.100000E+01 -9.162640E+00
  2.100000E+01 -9.139699E+00
  2.100000E+01 -9.139387E+00
  2.100000E+01 -9.116446E+00
  2.100000E+01 -9.116133E+00
  2.100000E+01 -9.093192E+00
  2.100000E+01 -9.092879E+00
  2.100000E+01 -9.069938E+00
  2.100000E+01 -9.069625E+00
  2.100000E+01 -9.046684E+00
  2.100000E+01 -9.046371E+00
  2.100000E+01 -9.023431E+00
  2.100000E+01 -9.023118E+00
  2.100000E+01 -9.000177E+00
  2.100000E+01 -8.999864E+00
  2.100000E+01 -8.976923E+00
  2.100000E+01 -8.976610E+00
  2.100000E+01 -8.953669E+00
  2.100000E+01 -8.953356E+00
  2.100000E+01 -8.930416E+00
  2.100000E+01 -8.930103E+00
  2.100000E+01 -8.907162E+00
  2.100000E+01 -8.906849E+00
  2.100000E+01 -8.883908E+00
  2.100000E+01 -8.883595E+00
  2.100000E+01 -8.860654E+00
  2.100000E+01 -8.860341E+00
  2.100000E+01 -8.837401E+00
  2.100000E+01 -8.837088E+00
  2.100000E+01 -8.814147E+00
  2.100000E+01 -8.813834E+00
  2.100000E+01 -8.790893E+00
  2.100000E+01 -8.790580E+00
  2.100000E+01 -8.767639E+00
  2.100000E+01 -8.767326E+00
  2.100000E+01 -8.744385E+00
  2.100000E+01 -8.744073E+00
  2.100000E+01 -8.721132E+00
  2.100000E+01 -8.720819E+00
  2.100000E+01 -8.697878E+00
  2.100000E+01 -8.697565E+00
  2.100000E+01 -8.674624E+00
  2.100000E+01 -8.674311E+00
  2.100000E+01 -8.651370E+00
  2.100000E+01 -8.651058E+00
  2.100000E+01 -8.628117E+00
  2.100000E+01 -8.627804E+00
  2.100000E+01 -8.604863E+00
  2.100000E+01 -8.604550E+00
  2.100000E+01 -8.581609E+00
  2.100000E+01 -8.581296E+00
  2.100000E+01 -8.558355E+00
  2.100000E+01 -8.558043E+00
  2.100000E+01 -8.535102E+00
  2.100000E+01 -8.534789E+00
  2.100000E+01 -8.511848E+00
  2.100000E+01 -8.511535E+00
  2.100000E+01 -8.488594E+00
  2.100000E+01 -8.488281E+00
  2.100000E+01 -8.465340E+00
  2.100000E+01 -8.465028E+00
  2.100000E+01 -8.442087E+00
  2.100000E+01 -8.441774E+00
  2.100000E+01 -8.418833E+00
  2.100000E+01 -8.418520E+00
  2.100000E+01 -8.395579E+00
  2.100000E+01 -8.395266E+00
  2.100000E+01 -8.372325E+00
  2.100000E+01 -8.372013E+00
  2.100000E+01 -8.349072E+00
  2.100000E+01 -8.348759E+00
  2.100000E+01 -8.325818E+00
  2.100000E+01 -8.325505E+00
  2.100000E+01 -8.302564E+00
  2.100000E+01 -8.302251E+00
  2.100000E+01 -8.279310E+00
  2.100000E+01 -8.278997E+00
  2.100000E+01 -8.256057E+00
  2.100000E+01 -8.255744E+00
  2.100000E+01 -8.232803E+00
  2.100000E+01 -8.232490E+00
  2.100000E+01 -8.209549E+00
  2.100000E+01 -8.209236E+00
  2.100000E+01 -8.186295E+00
  2.100000E+01 -8.185982E+00
  2.100000E+01 -8.163042E+00
  2.100000E+01 -8.162729E+00
  2.100000E+01 -8.139788E+00
  2.100000E+01 -8.139475E+00
  2.100000E+01 -8.116534E+00
  2.100000E+01 -8.116221E+00
  2.100000E+01 -8.093280E+00
  2.100000E+01 -8.092967E+00
  2.100000E+01 -8.070027E+00
  2.100000E+01 -8.069714E+00
  2.100000E+01 -8.046773E+00
  2.100000E+01 -8.046460E+00
  2.100000E+01 -8.023519E+00
  2.100000E+01 -8.023206E+00
  2.100000E+01 -8.000265E+00
  2.100000E+01 -7.999952E+00
  2.100000E+01 -7.977011E+00
  2.099870E+01 -7.977011E+00
  2.090239E+01 -7.977011E+00
  2.080607E+01 -7.977011E+00
  2.070975E+01 -7.977011E+00
  2.061343E+01 -7.977011E+00
  2.051711E+01 -7.977011E+00
  2.042079E+01 -7.977011E+00
  2.032448E+01 -7.977011E+00
  2.022816E+01 -7.977011E+00
  2.013184E+01 -7.977011E+00
  2.003552E+01 -7.977011E+00
  1.993920E+01 -7.977011E+00
  1.984288E+01 -7.977011E+00
  1.974657E+01 -7.977011E+00
  1.965025E+01 -7.977011E+00
  1.955393E+01 -7.977011E+00
  1.945761E+01 -7.977011E+00
  1.936129E+01 -7.977011E+00
  1.926497E+01 -7.977011E+00
  1.916865E+01 -7.977011E+00
  1.907234E+01 -7.977011E+00
  1.897602E+01 -7.977011E+00
  1.887970E+01 -7.977011E+00
  1.878338E+01 -7.977011E+00
